ActorID,ActorFirstName,ActorLastName,ActorGender,ActorBirthday,CountryID,ActorDescription
61,Amy,Adams,Female,1974-08-20,1,An American actress. Known for both her comedic and dramatic performances.
62,Matthew,Goode,Male,1987-04-03,13,He made his screen debut in 2002 with ABC's TV film feature Confessions of an Ugly Stepsister.
63,John,Lithgow,Male,1945-10-19,1,"An American actor, musician, poet, author, and singer. "
64,Kohtee,Aramboy,Male,1980-12-31,15,"An actor and director, known for Kung Fu Tootsie (2007), The Headless Family (2010) and Sam Yan (2010)."
65,Sudarat,Butrprom,Female,1979-03-15,15,"A famous Thai actress and comedian, most well known as the ""queen of comedy""."
66,Yingsak,Chonglertjetsadawong,Male,1956-03-29,15,"An actor, known for Hor taew tak (2007), Hor taew tak 4 (2012) and Hor taew tak 3 (2011). "
67,Sisca,Jessica,Female,1988-04-25,18,An Indonesian actress best known for her work as a co-host in Hitam Putih Talk show.
68,Christine,Hakim,Female,1956-12-25,18,"An Indonesian actress, film producer, and activist."
69,Wenpei,Ju,Female,1975-09-06,4,"A Chinese actress, composer and hostess. "
70,Fan,Wei,Male,1962-09-02,4,A Chinese skit and sitcom and film actor best known for his performances with Zhao Benshan in CCTV.
71,Liu,Hua,Male,1961-06-01,4,A Chinese actor. He is noted for his roles as Zhen Chengzong in Under The Temptation.
72,Sanjay,Dutt,Male,1969-06-29,2,"An Indian actor, author and film producer who works in Hindi films. "
73,Sunil,Shetty,Male,1961-08-11,2,"An Indian film actor, producer and entrepreneur who is predominantly active in Bollywood films."
74,Tusshar,Kapoor,Male,1976-11-20,2,"An Indian Bollywood actor, producer and son of veteran actor Jeetendra and the younger brother of Ekta Kapoor."
75,Stacy,Keach,Male,1941-06-02,1,An American actor and voice actor. He has played mainly dramatic roles throughout his career.
76,Tim,Allen,Male,1953-06-13,1,"Known professionally as Tim Allen, is an American actor and comedian."
77,Courteney,Cox,Female,1964-06-15,1,"An American actress, producer, and director."
78,Rip,Torn,Male,1931-02-06,1,"An American actor and voice actor, and had a career that spanned over 60 years."
79,Cem,Yılmaz,Male,1973-04-23,19,"A Turkish stand-up comedian, actor, voice actor, musician, filmmaker, screen writer, and cartoonist."
80,Tuna,Orhan,Male,1966-1-21,7,"An actor, known for Hokkabaz (2006), Memleket meselesi (2010)."
81,Mazhar,Alanson,Male,1950-02-13,19,"A Turkish musician, guitarist, member of the popular Turkish pop music band MFÖ, and an actor."
82,Taylor,Lautner,Male,1992-02-11,1,"An American actor, voice actor, and model. "
83,Taylor,Dooley,Female,1993-02-16,1,An actress. lava girl from the adventures of shark boy and lava girl.
84,Cayden,Boyd,Male,1994-05-24,1,An American actor. He is best known for his child roles as Max in Robert Rodriguez's 2005 film.
85,David,Strathairn,Male,1949-01-26,1,"An American actor, came to prominence in the 1980s and the 1990s performing in the films of fellow Williams College graduate John Sayles."
86,George,Clooney,Male,1961-05-06,1,"An American actor, director, producer and filmmaker."
87,Kang-ho,Song,Male,1967-01-17,12,A South Korean actor who rose to international prominence for his performances in Snowpiercer and Parasite.
88,So-ri,Moon,Female,1974-07-02,12,"A South Korean actress, film director and screenwriter. She is best known for her acclaimed leading roles in Oasis "
89,Jae-eung,Lee,Male,1991-05-13,12,"An actor, known for Memories of Murder (2003), The Host (2006) and Saranghae malsoonssi (2005)."
90,Michael,Gross,Male,1947-06-21,1,"An American television, movie and stage actor and comedian. "
91,Sara,Botsford,Female,1951-08-04,22,A Canadian television and film actress.
92,Billy,Drago,Male,1945-11-30,1,"Known professionally by his stage name Billy Drago, was an American television and film actor."
93,Esha,Deol,Female,1981-11-02,2,An Indian film actress and model who predominantly appears in Hindi films.
94,Jeetendra,,Male,1942-04-07,2,"An Indian actor, TV and film producer as chairman of the Balaji Telefilms, Balaji Motion Pictures and ALT Entertainment."
95,Christopher,Showerman,Male,1971-06-24,1,"An American actor, best known for his role as George in George of the Jungle 2. "
96,Julie,Benz,Female,1972-05-01,1,"An American actress, known for her roles as Darla on Buffy the Vampire Slayer and Angel,"
97,Tommy,Lee Jones,Male,1946-09-15,1,"An American actor, director, producer and screenwriter. "
98,Will,Smith,Male,1968-09-25,1,"An American actor and rapper. In April 2007, Newsweek called him ""the most powerful actor in Hollywood"". "
99,Angela,Bettis,Female,1973-01-09,1,"An American film and stage actress, film producer, and director best known for her lead roles in the 2002 TV adaptation."
100,Rena,Sofer,Female,1968-12-02,1,"An American actress, known for her appearances in daytime television, episodic guest appearances, and made-for-television movies. "
101,Robert,De Niro,Male,1943-08-17,1,"An American actor, producer, and director."
102,Edward,Norton,Male,1969-08-18,1,An American actor and filmmaker. 
103,Marlon,Brando,Male,1924-04-03,1,"An American actor and film director with a career spanning 60 years, during which he won the Oscar for Best Actor twice."
104,Jamie,Bell,Male,1986-03-14,13,"An English actor and dancer. He rose to prominence for his debut role in Billy Elliot,"
105,Gary,Lewis,Male,1946-07-31,1,An American musician who was the leader of Gary Lewis & the Playboys.
106,Stuart,Wells,Male,1982-09-18,13,An English actor. He is best known for his role as Michael in the film Billy Elliot.
107,Elizabeth,Daily,Female,1961-09-11,1,An American singer and voice actress best known for voicing Tommy Pickles in the Nicktoons Rugrats and All Grown Up.
108,Tara,Strong,Female,1973-02-12,22,A Canadian-American actress who has provided voice-over work for animation and video games and has performed in live-action.
