MovieID,MovieName,Price,DirectorID,CountryID,ProductionCompanyID,Language,ReleaseYear,Duration,Rating,MovieDescription,OrderTimes
20,No Other Woman,10.99,20,16,19,Filipino,2011,103,TV-14,"A happily married man gives in to temptation when a wealthy client pursues him, setting off a torrid love triangle.",2
21,Kung Fu Magoo,10.99,21,3,20,"English, Spanish",2010,79,TV-Y7,"Shortsighted curmudgeon Mr. Magoo and his young nephew, Justin, fight such nefarious foes as kung fu villains, robot spiders and teenage mutants.",4
22,Leap Year,10.99,22,1,15,English,2010,100,PG,"Anna chooses February 29 to propose marriage to her boyfriend, but after meeting a charming innkeeper, she must evaluate her original plans.",2
23,Oh My Ghost,10.99,23,15,21,Thai,2009,94,TV-14,"A group of friends encounters a folk spirit in their apartment, and their harebrained attempts to banish the ghost soon backfire.",1
24,Merantau,10.99,24,18,22,Indonesian ,2009,112,R,"In this fast-paced Indonesian thriller, a young martial arts master travels to Jakarta, where he saves an orphan from a human-trafficking ring.",1
25,Set Off,9.99,25,4,23,Chinese,2008,96,TV-MA,"When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps.",3
26,Shootout at Lokhandwala,9.99,26,2,24,Hindi,2007,116,UR,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. ",2
27,The Pixar Story,9.99,27,1,25,English,2007,89,G,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.,4
28,Zoom,9.99,28,1,26,English,2006,88,PG,"Dragged from civilian life, a former superhero must train a new crop of youthful saviors when the military preps for an attack by a familiar villain.",1
29,Hokkabaz,9.99,29,19,27,Turkish,2006,118,TV-MA,"Trying to resurrect his career, not-so-talented magician Iskender goes on tour, but things get iffy when one of his illusions works a little too well.",1
30,The Adventures of Sharkboy and Lavagirl,9.99,30,1,28,English,2005,93,PG,"A 10-year-old dreamer's imaginary friends ""mighty Sharkboy and fire-producing Lavagirl"" come to life to seek his help battling a nefarious baddie.",2
31,"Good Night, and Good Luck",9.99,31,20,18,English,2005,93,PG,Veteran television newsman Edward R. Murrow faces off against Sen. Joseph McCarthy and his crusade to quell the threat of communism in America.,2
32,The President's Barber,8.99,32,12,29,Korean,2004,116,TV-MA,"The personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped South Korea in the late 1900s.",4
33,Tremors 4: The Legend Begins,8.99,33,1,30,English,2004,101,PG-13,"Residents of a abandoned mining town attempt to get to the bottom of a series of recent, mysterious deaths before their own fates are sealed.",1
34,Kucch To Hai,8.99,34,2,31,Hindi,2003,136,TV-14,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",2
35,George of the Jungle 2,8.99,35,21,16,English,2003,87,PG,"Now married and raising a son, clumsy ape-man George finds his jungle kingdom in peril as Really Mean Lion challenges him for the throne.",3
36,Men in Black II,7.99,36,1,28,English,2002,88,PG-13,Will Smith and Tommy Lee Jones reprise their roles as two highly secretive and unofficial government agents dealing with all things evil and alien.,2
37,Carrie,7.99,37,22,32,English,2002,132,TV-14,This remake of the classic 1976 horror flick finds misfit Carrie getting revenge on all the cool people who've bullied her over the years.,4
38,The Score,7.99,38,22,33,"English, Franch",2001,124,R,"Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.",2
39,Billy Elliot,5.99,39,13,34,English,2000,110,R,"When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",1
40,Rugrats in Paris: The Movie,5.99,40,7,33,"English, Franch",2000,79,G,The Rugrats take to the big screen and visit Paris when Mr. Pickles gets summoned to fix a giant robot at the EuroReptarland theme park.,2
